,Age,Height,Weight
0,24.0,180.0,80.0
1,23.0,170.0,60.0
2,21.0,185.0,82.0
3,21.0,185.0,82.0
4,25.0,185.0,82.0
5,27.0,185.0,82.0
6,31.0,188.0,75.0
7,31.0,188.0,75.0
8,31.0,188.0,75.0
9,33.0,188.0,75.0
10,33.0,188.0,75.0
11,33.0,188.0,75.0
12,31.0,183.0,72.0
13,31.0,183.0,72.0
14,31.0,183.0,72.0
15,33.0,183.0,72.0
16,33.0,183.0,72.0
17,33.0,183.0,72.0
18,26.0,186.0,96.0
19,22.0,182.0,76.5
20,31.0,172.0,70.0
21,30.0,159.0,55.5
22,34.0,159.0,55.5
23,32.0,171.0,65.0
24,28.0,184.0,85.0
25,28.0,175.0,64.0
26,28.0,175.0,64.0
27,28.0,175.0,64.0
28,28.0,175.0,64.0
29,32.0,175.0,64.0
30,32.0,175.0,64.0
31,32.0,175.0,64.0
32,31.0,189.0,130.0
33,20.0,176.0,85.0
34,20.0,176.0,85.0
35,22.0,176.0,85.0
36,22.0,176.0,85.0
37,22.0,176.0,85.0
38,26.0,176.0,85.0
39,26.0,176.0,85.0
40,26.0,176.0,85.0
41,30.0,176.0,85.0
42,30.0,176.0,85.0
43,34.0,176.0,85.0
44,34.0,176.0,85.0
45,22.0,170.0,125.0
46,22.0,187.0,89.0
47,26.0,187.0,89.0
48,17.0,169.0,65.0
49,43.0,170.0,77.0
50,47.0,170.0,77.0
51,26.0,189.0,72.0
52,30.0,189.0,72.0
53,24.0,174.0,70.0
54,24.0,187.0,76.0
55,28.0,187.0,76.0
56,30.0,187.0,76.0
57,24.0,190.0,98.0
58,21.0,194.0,78.0
59,21.0,194.0,78.0
60,21.0,194.0,78.0
61,25.0,194.0,78.0
62,25.0,194.0,78.0
63,23.0,182.0,64.0
64,34.0,185.0,75.0
65,25.0,182.0,73.0
66,25.0,182.0,73.0
67,29.0,182.0,73.0
68,29.0,182.0,73.0
69,33.0,194.0,93.0
70,45.0,194.0,93.0
71,49.0,194.0,93.0
72,53.0,194.0,93.0
73,57.0,194.0,93.0
74,22.0,177.0,74.0
75,26.0,177.0,74.0
76,30.0,177.0,74.0
77,24.0,168.0,65.0
78,28.0,168.0,65.0
79,22.0,185.0,106.0
80,26.0,185.0,106.0
81,23.0,167.0,64.0
82,23.0,167.0,64.0
83,22.0,189.0,80.0
84,24.0,172.0,58.0
85,26.0,170.0,65.0
86,24.0,176.0,66.0
87,24.0,164.0,71.0
88,28.0,164.0,71.0
89,24.0,172.0,75.0
90,26.0,175.0,72.0
91,21.0,198.0,90.0
92,30.0,194.0,87.0
93,21.0,165.0,49.0
94,22.0,179.0,80.0
95,26.0,179.0,80.0
96,23.0,178.0,76.0
97,23.0,178.0,76.0
98,19.0,185.0,72.0
99,26.0,167.0,65.0
100,27.0,172.0,82.0
101,27.0,172.0,82.0
102,24.0,180.0,83.0
103,28.0,180.0,83.0
104,23.0,182.0,86.0
105,27.0,182.0,86.0
106,31.0,182.0,86.0
107,30.0,182.0,73.0
108,22.0,178.0,70.0
109,22.0,185.0,82.0
110,27.0,166.0,75.0
111,22.0,186.0,83.0
112,22.0,190.0,77.0
113,26.0,183.0,75.0
114,26.0,165.0,55.0
115,24.0,181.0,82.0
116,28.0,181.0,82.0
117,32.0,181.0,82.0
118,22.0,182.0,67.0
119,26.0,182.0,67.0
120,29.0,188.0,97.0
121,25.0,168.0,105.0
122,21.0,163.0,60.0
123,21.0,163.0,60.0
124,27.0,190.0,80.0
125,21.0,180.0,73.0
126,34.0,190.0,85.0
127,38.0,190.0,85.0
128,35.0,155.0,43.0
129,18.0,168.0,60.0
130,16.0,180.0,70.0
131,30.0,169.0,75.0
132,30.0,169.0,75.0
133,30.0,169.0,75.0
134,30.0,181.0,79.0
135,25.0,170.0,51.0
136,19.0,175.0,75.0
137,23.0,175.0,75.0
138,22.0,188.0,96.0
139,29.0,188.0,96.0
140,34.0,188.0,96.0
141,22.0,182.0,90.0
142,26.0,182.0,90.0
143,30.0,182.0,90.0
144,34.0,182.0,90.0
145,20.0,187.0,97.0
146,25.0,187.0,97.0
147,29.0,187.0,97.0
148,33.0,187.0,97.0
149,23.0,176.0,64.0
150,23.0,176.0,64.0
151,27.0,176.0,64.0
152,20.0,175.0,66.0
153,22.0,190.0,88.0
154,21.0,169.0,67.0
155,22.0,175.0,80.0
156,20.0,160.0,65.0
157,24.0,181.0,74.0
158,22.0,178.0,78.0
159,22.0,178.0,78.0
160,22.0,165.0,65.0
161,26.0,170.0,70.0
162,23.0,168.0,55.0
163,28.0,173.0,77.0
164,25.0,178.0,80.0
165,29.0,178.0,80.0
166,37.0,178.0,80.0
167,28.0,170.0,62.0
168,20.0,164.0,58.0
169,20.0,165.0,60.0
170,24.0,165.0,60.0
171,28.0,165.0,60.0
172,28.0,173.0,60.0
173,22.0,181.0,74.0
174,18.0,182.0,76.0
175,33.0,159.0,53.0
176,28.0,171.0,64.0
177,23.0,192.0,90.0
178,23.0,178.0,72.0
179,29.0,195.0,85.0
180,15.0,175.0,64.0
181,19.0,175.0,64.0
182,24.0,180.0,104.0
183,42.0,172.0,80.0
184,46.0,172.0,80.0
185,30.0,167.0,58.0
186,30.0,167.0,58.0
187,21.0,184.0,87.0
188,23.0,179.0,80.0
189,24.0,175.0,70.0
190,28.0,175.0,70.0
