,Age,Height,Weight,Cluster
0,24.0,180.0,80.0,5
1,23.0,170.0,60.0,8
2,21.0,185.0,82.0,5
3,21.0,185.0,82.0,5
4,25.0,185.0,82.0,2
5,27.0,185.0,82.0,2
6,31.0,188.0,75.0,4
7,31.0,188.0,75.0,4
8,31.0,188.0,75.0,4
9,33.0,188.0,75.0,4
10,33.0,188.0,75.0,4
11,33.0,188.0,75.0,4
12,31.0,183.0,72.0,2
13,31.0,183.0,72.0,2
14,31.0,183.0,72.0,2
15,33.0,183.0,72.0,2
16,33.0,183.0,72.0,2
17,33.0,183.0,72.0,2
18,26.0,186.0,96.0,1
19,22.0,182.0,76.5,5
20,31.0,172.0,70.0,2
21,30.0,159.0,55.5,0
22,34.0,159.0,55.5,0
23,32.0,171.0,65.0,0
24,28.0,184.0,85.0,4
25,28.0,175.0,64.0,2
26,28.0,175.0,64.0,2
27,28.0,175.0,64.0,2
28,28.0,175.0,64.0,2
29,32.0,175.0,64.0,2
30,32.0,175.0,64.0,2
31,32.0,175.0,64.0,2
32,31.0,189.0,130.0,4
33,20.0,176.0,85.0,5
34,20.0,176.0,85.0,5
35,22.0,176.0,85.0,5
36,22.0,176.0,85.0,5
37,22.0,176.0,85.0,5
38,26.0,176.0,85.0,2
39,26.0,176.0,85.0,2
40,26.0,176.0,85.0,2
41,30.0,176.0,85.0,2
42,30.0,176.0,85.0,2
43,34.0,176.0,85.0,7
44,34.0,176.0,85.0,7
45,22.0,170.0,125.0,5
46,22.0,187.0,89.0,1
47,26.0,187.0,89.0,1
48,17.0,169.0,65.0,3
49,43.0,170.0,77.0,7
50,47.0,170.0,77.0,7
51,26.0,189.0,72.0,2
52,30.0,189.0,72.0,2
53,24.0,174.0,70.0,2
54,24.0,187.0,76.0,5
55,28.0,187.0,76.0,2
56,30.0,187.0,76.0,2
57,24.0,190.0,98.0,1
58,21.0,194.0,78.0,1
59,21.0,194.0,78.0,1
60,21.0,194.0,78.0,1
61,25.0,194.0,78.0,1
62,25.0,194.0,78.0,1
63,23.0,182.0,64.0,5
64,34.0,185.0,75.0,4
65,25.0,182.0,73.0,2
66,25.0,182.0,73.0,2
67,29.0,182.0,73.0,2
68,29.0,182.0,73.0,2
69,33.0,194.0,93.0,4
70,45.0,194.0,93.0,4
71,49.0,194.0,93.0,7
72,53.0,194.0,93.0,7
73,57.0,194.0,93.0,7
74,22.0,177.0,74.0,5
75,26.0,177.0,74.0,2
76,30.0,177.0,74.0,2
77,24.0,168.0,65.0,8
78,28.0,168.0,65.0,0
79,22.0,185.0,106.0,1
80,26.0,185.0,106.0,1
81,23.0,167.0,64.0,8
82,23.0,167.0,64.0,8
83,22.0,189.0,80.0,5
84,24.0,172.0,58.0,8
85,26.0,170.0,65.0,8
86,24.0,176.0,66.0,2
87,24.0,164.0,71.0,8
88,28.0,164.0,71.0,0
89,24.0,172.0,75.0,2
90,26.0,175.0,72.0,2
91,21.0,198.0,90.0,1
92,30.0,194.0,87.0,4
93,21.0,165.0,49.0,8
94,22.0,179.0,80.0,5
95,26.0,179.0,80.0,2
96,23.0,178.0,76.0,5
97,23.0,178.0,76.0,5
98,19.0,185.0,72.0,5
99,26.0,167.0,65.0,8
100,27.0,172.0,82.0,2
101,27.0,172.0,82.0,2
102,24.0,180.0,83.0,5
103,28.0,180.0,83.0,2
104,23.0,182.0,86.0,5
105,27.0,182.0,86.0,2
106,31.0,182.0,86.0,4
107,30.0,182.0,73.0,2
108,22.0,178.0,70.0,5
109,22.0,185.0,82.0,5
110,27.0,166.0,75.0,2
111,22.0,186.0,83.0,5
112,22.0,190.0,77.0,5
113,26.0,183.0,75.0,2
114,26.0,165.0,55.0,8
115,24.0,181.0,82.0,5
116,28.0,181.0,82.0,2
117,32.0,181.0,82.0,2
118,22.0,182.0,67.0,5
119,26.0,182.0,67.0,2
120,29.0,188.0,97.0,4
121,25.0,168.0,105.0,2
122,21.0,163.0,60.0,8
123,21.0,163.0,60.0,8
124,27.0,190.0,80.0,4
125,21.0,180.0,73.0,5
126,34.0,190.0,85.0,4
127,38.0,190.0,85.0,4
128,35.0,155.0,43.0,0
129,18.0,168.0,60.0,3
130,16.0,180.0,70.0,3
131,30.0,169.0,75.0,2
132,30.0,169.0,75.0,2
133,30.0,169.0,75.0,2
134,30.0,181.0,79.0,2
135,25.0,170.0,51.0,8
136,19.0,175.0,75.0,5
137,23.0,175.0,75.0,5
138,22.0,188.0,96.0,1
139,29.0,188.0,96.0,4
140,34.0,188.0,96.0,4
141,22.0,182.0,90.0,5
142,26.0,182.0,90.0,2
143,30.0,182.0,90.0,4
144,34.0,182.0,90.0,4
145,20.0,187.0,97.0,1
146,25.0,187.0,97.0,1
147,29.0,187.0,97.0,4
148,33.0,187.0,97.0,4
149,23.0,176.0,64.0,8
150,23.0,176.0,64.0,8
151,27.0,176.0,64.0,2
152,20.0,175.0,66.0,3
153,22.0,190.0,88.0,1
154,21.0,169.0,67.0,8
155,22.0,175.0,80.0,5
