,Age,Height,Weight,Anomalies
0,24.0,180.0,80.0,1
1,23.0,170.0,60.0,1
2,21.0,185.0,82.0,1
3,21.0,185.0,82.0,1
4,25.0,185.0,82.0,1
5,27.0,185.0,82.0,1
6,31.0,188.0,75.0,1
7,31.0,188.0,75.0,1
8,31.0,188.0,75.0,1
9,33.0,188.0,75.0,1
10,33.0,188.0,75.0,1
11,33.0,188.0,75.0,1
12,31.0,183.0,72.0,1
13,31.0,183.0,72.0,1
14,31.0,183.0,72.0,1
15,33.0,183.0,72.0,1
16,33.0,183.0,72.0,1
17,33.0,183.0,72.0,1
18,26.0,186.0,96.0,1
19,22.0,182.0,76.5,1
20,31.0,172.0,70.0,1
21,30.0,159.0,55.5,1
22,34.0,159.0,55.5,1
23,32.0,171.0,65.0,1
24,28.0,184.0,85.0,1
25,28.0,175.0,64.0,1
26,28.0,175.0,64.0,1
27,28.0,175.0,64.0,1
28,28.0,175.0,64.0,1
29,32.0,175.0,64.0,1
30,32.0,175.0,64.0,1
31,32.0,175.0,64.0,1
32,31.0,189.0,130.0,-1
33,20.0,176.0,85.0,1
34,20.0,176.0,85.0,1
35,22.0,176.0,85.0,1
36,22.0,176.0,85.0,1
37,22.0,176.0,85.0,1
38,26.0,176.0,85.0,1
39,26.0,176.0,85.0,1
40,26.0,176.0,85.0,1
41,30.0,176.0,85.0,1
42,30.0,176.0,85.0,1
43,34.0,176.0,85.0,1
44,34.0,176.0,85.0,1
45,22.0,170.0,125.0,-1
46,22.0,187.0,89.0,1
47,26.0,187.0,89.0,1
48,17.0,169.0,65.0,1
49,43.0,170.0,77.0,-1
50,47.0,170.0,77.0,-1
51,26.0,189.0,72.0,1
52,30.0,189.0,72.0,1
53,24.0,174.0,70.0,1
54,24.0,187.0,76.0,1
55,28.0,187.0,76.0,1
56,30.0,187.0,76.0,1
57,24.0,190.0,98.0,1
58,21.0,194.0,78.0,1
59,21.0,194.0,78.0,1
60,21.0,194.0,78.0,1
61,25.0,194.0,78.0,1
62,25.0,194.0,78.0,1
63,23.0,182.0,64.0,1
64,34.0,185.0,75.0,1
65,25.0,182.0,73.0,1
66,25.0,182.0,73.0,1
67,29.0,182.0,73.0,1
68,29.0,182.0,73.0,1
69,33.0,194.0,93.0,1
70,45.0,194.0,93.0,-1
71,49.0,194.0,93.0,-1
72,53.0,194.0,93.0,-1
73,57.0,194.0,93.0,-1
74,22.0,177.0,74.0,1
75,26.0,177.0,74.0,1
76,30.0,177.0,74.0,1
77,24.0,168.0,65.0,1
78,28.0,168.0,65.0,1
79,22.0,185.0,106.0,1
80,26.0,185.0,106.0,1
81,23.0,167.0,64.0,1
82,23.0,167.0,64.0,1
83,22.0,189.0,80.0,1
84,24.0,172.0,58.0,1
85,26.0,170.0,65.0,1
86,24.0,176.0,66.0,1
87,24.0,164.0,71.0,1
88,28.0,164.0,71.0,1
89,24.0,172.0,75.0,1
90,26.0,175.0,72.0,1
91,21.0,198.0,90.0,1
92,30.0,194.0,87.0,1
93,21.0,165.0,49.0,1
94,22.0,179.0,80.0,1
95,26.0,179.0,80.0,1
96,23.0,178.0,76.0,1
97,23.0,178.0,76.0,1
98,19.0,185.0,72.0,1
99,26.0,167.0,65.0,1
100,27.0,172.0,82.0,1
101,27.0,172.0,82.0,1
102,24.0,180.0,83.0,1
103,28.0,180.0,83.0,1
104,23.0,182.0,86.0,1
105,27.0,182.0,86.0,1
106,31.0,182.0,86.0,1
107,30.0,182.0,73.0,1
108,22.0,178.0,70.0,1
109,22.0,185.0,82.0,1
110,27.0,166.0,75.0,1
111,22.0,186.0,83.0,1
112,22.0,190.0,77.0,1
