,Team,Sport,Event,Medal,Age,Height,Weight
0,Finland,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,28.0,184.0,85.0
1,Finland,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,28.0,175.0,64.0
2,Finland,Gymnastics,Gymnastics Men's Team All-Around,Gold,28.0,175.0,64.0
3,Finland,Gymnastics,Gymnastics Men's Horse Vault,Gold,28.0,175.0,64.0
4,Finland,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,28.0,175.0,64.0
5,Finland,Gymnastics,Gymnastics Men's Team All-Around,Bronze,32.0,175.0,64.0
6,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold,20.0,176.0,85.0
7,Norway,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze,20.0,176.0,85.0
8,Norway,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,22.0,176.0,85.0
9,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Bronze,22.0,176.0,85.0
10,Norway,Alpine Skiing,Alpine Skiing Men's Combined,Silver,22.0,176.0,85.0
11,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold,30.0,176.0,85.0
12,Norway,Alpine Skiing,Alpine Skiing Men's Combined,Gold,30.0,176.0,85.0
13,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold,34.0,176.0,85.0
14,Netherlands,Rowing,Rowing Men's Lightweight Double Sculls,Silver,26.0,189.0,72.0
15,Norway,Football,Football Women's Football,Bronze,23.0,182.0,64.0
16,Italy,Rowing,Rowing Men's Coxless Pairs,Bronze,21.0,198.0,90.0
17,Spain,Fencing,"Fencing Men's epee, Individual",Bronze,30.0,194.0,87.0
18,Azerbaijan,Taekwondo,Taekwondo Women's Flyweight,Bronze,21.0,165.0,49.0
19,Russia,Athletics,Athletics Women's Javelin Throw,Silver,22.0,179.0,80.0
20,Belarus,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,28.0,180.0,83.0
21,France,Handball,Handball Men's Handball,Gold,23.0,182.0,86.0
22,France,Handball,Handball Men's Handball,Gold,27.0,182.0,86.0
23,France,Handball,Handball Men's Handball,Silver,31.0,182.0,86.0
24,Cameroon,Football,Football Men's Football,Gold,22.0,185.0,82.0
25,Spain,Water Polo,Water Polo Men's Water Polo,Gold,22.0,186.0,83.0
26,United States,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,26.0,165.0,55.0
27,Spain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,28.0,181.0,82.0
28,Spain,Athletics,"Athletics Men's 1,500 metres",Bronze,26.0,182.0,67.0
29,Russia,Cycling,Cycling Women's Sprint,Silver,21.0,163.0,60.0
30,France,Handball,Handball Men's Handball,Gold,38.0,190.0,85.0
31,Hungary,Fencing,"Fencing Men's Sabre, Team",Silver,30.0,181.0,79.0
32,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold,22.0,188.0,96.0
33,Italy,Rowing,Rowing Men's Double Sculls,Gold,29.0,188.0,96.0
34,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold,34.0,188.0,96.0
35,Italy,Rowing,Rowing Men's Coxed Pairs,Gold,22.0,182.0,90.0
36,Italy,Rowing,Rowing Men's Coxed Pairs,Gold,26.0,182.0,90.0
37,Italy,Rowing,Rowing Men's Coxed Pairs,Silver,30.0,182.0,90.0
38,Italy,Rowing,Rowing Men's Coxed Pairs,Gold,25.0,187.0,97.0
39,Italy,Rowing,Rowing Men's Coxed Pairs,Gold,29.0,187.0,97.0
40,Italy,Rowing,Rowing Men's Coxed Pairs,Silver,33.0,187.0,97.0
41,Australia,Hockey,Hockey Men's Hockey,Bronze,21.0,184.0,87.0
42,United States,Figure Skating,Figure Skating Mixed Team,Bronze,28.0,175.0,70.0
43,United States,Softball,Softball Women's Softball,Silver,23.0,191.0,88.0
44,United States,Taekwondo,Taekwondo Women's Featherweight,Silver,20.0,175.0,56.0
45,Iran,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,26.0,170.0,80.0
46,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,21.0,173.0,59.0
47,Pakistan,Hockey,Hockey Men's Hockey,Gold,38.0,169.0,91.0
48,Pakistan,Hockey,Hockey Men's Hockey,Silver,23.0,181.0,72.0
49,Soviet Union,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,26.0,160.0,62.0
50,Uzbekistan,Boxing,Boxing Men's Light-Welterweight,Gold,26.0,169.0,63.0
51,Azerbaijan,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,25.0,167.0,55.0
52,Azerbaijan,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,29.0,167.0,55.0
53,United States,Basketball,Basketball Men's Basketball,Gold,23.0,202.0,104.0
54,Tajikistan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,30.0,170.0,84.0
55,Unified Team,Athletics,Athletics Men's Hammer Throw,Gold,26.0,190.0,125.0
